S/No,Product Description,UoM,Max
165,Spirit level (Bubble Level) - 1200mm,Each,110
166,Spirit level (Bubble Level) - 600mm,Each,84
167,Square tube 16 x 16 mm x 6 metres x 1.6mm,Each,105
168,Square tube 20 x 20 mm x 6 metres x 1.6mm,Each,128
169,Square tube 25 x 25 mm x 6 metres x 1.6mm,Each,157
170,Square tube 30 x 30 mm x 6 metres x 1.6mm,Each,186
171,Square tube 40 x 40 mm x 6 metres x 1.6mm,Each,233
172,Square tube 50 x 50 mm x 6 metres x 1.6mm,Each,337
173,"Steeldoorframe1200x2000mmcomplete
with grill door",Each,"1,105"
174,"Steeldoorframe1800x2000mmcomplete
with grill door",Each,"1,105"
175,Steel nails - 1 inch (Concrete Nails),Kg,63
176,Steel nails - 2 inches (Concrete Nails),Kg,73
177,Steel nails - 3 inches (Concrete Nails ),kg,72
178,Steel nails - 4 inches (Concrete Nails),kg,75
179,Steel nails - 5 inches (Concrete Nails),Kg,76
180,"Steel window frame Overall size 1200 x
900mm high complete with burglar bars",Each,701
181,"Steel window frame Overall size 600 x
500mm high complete with burglar bars",Each,255
182,S-trap -1 ¼ inches (32mm) Diameter,Each,53
183,Swicth and Socket box 3 x 3 Inches,Each,8
184,Swicth and Socket box 3 x 6 Inches,Each,12
185,"Tap - Bib Tap- 13mm Diameter chromium
plated",Each,114
186,"Tap - Garden Tap- 13mm Diameter
chromium plated",Each,120
187,Tap - Garden tap19mm chromium plated,Each,125
188,"Tap -Pillar Tap- 13mm Diameter Chrome
Plated",Each,116
189,Tee - ½ inch (13mm) PVC,Each,8
190,Thinners (2.5ltrs),Each,197
191,Thinners (5ltrs),Each,318
192,Thinners (750mls),Each,69
193,Thread tape - 40m (medium),Each,19
194,Thread tape - 65mm (big),Each,26
195,Thread tape- 25mm(small),Each,9
196,Three lever mortice door lockset,Each,170
197,Tile Fix (20kg)-Wall and Floor Tile Adhesive,Each,68
198,"Tiles - 600 x 600mm x 10mm Ceramic -
Slippery",Box,253
199,Tilling Grout 5kg,Each,128
200,Timber - Sawn softwood 100 x 25mm x 5m,Each,34
201,Timber - Sawn softwood 100 x 50mm x 5m,Each,60
202,Timber - Sawn softwood 150 x 50mm x 5m,Each,77
203,Timber - Sawn softwood 50 x 50mm x 5m,Each,34
204,Timber - Sawn softwood 75 x 50mm x 5m,Each,43
205,Toilet Cistern (Ceramic) - 9 Litres,Each,318
206,Toilet Cistern (PVC) - 9 Litres,Each,325
207,"Toiletrollholder-150x150mm(recessed
ceramic)",Each,43
208,Toilet seat and cover(Plastic),Each,126
209,"Toilet suite complete complete with PVC
cistern",Each,828
210,Toilet suite complete with Ceramic cistern,Each,906
211,Two lever mortice door lockset,Each,85
212,Tying wire - 1.6mm 25Kg,Each,932
213,Union Socket - 13mm (½ Inch )PVC,Each,23
214,Union Socket - 13mm (Ã‚Â½ Inch ) GI,Each,43
215,Union Socket - 19mm (¼ inches) PVC,Each,27
216,Union Socket - 19mm(¼ inches) GI,Each,34
217,Vent valve - 110mm Diameter PVC,Each,43
218,Wall filler (Crack Filler) -1kg,kg,39
219,Wash hand basin (WHB) -Ceramic,Each,374
220,"Washhandbasin(WHB)-Ceramiccomplete
with pedestal",Each,"1,020"
221,"Wasteoutletwithplugandchain-1¼inches
(32mm) Diameter",Each,60
222,"Wastepipe(PVC(-32mmDiameter(1Â¼)-
6m",Each,109
223,"Waste pipe (PVC) - 50mm diameter (2
inches) -6m",Each,119
224,"Waste pipe (PVC) 40mm Diameter ( -1Â½
inches) -6m",Each,105
225,Waste trap - 1¼ inches ( 32mm) Diameter,Each,58
226,Waste trap - 2 inches (50mm) diameter,Each,62
227,Waste trap -1½ inches ( 40mm) diameter,Each,61
228,Wheel Barrow (heavy duty),Each,"2,125"
229,Wheel Barrow (Standard/light duty),Each,"1,472"
230,Window handle,Each,17
231,Window hinge (pair),Each,17
232,Window peg stay,Each,20
233,Window Putty,kg,25
234,Window slide,Each,16
235,Wire nails 1 inch,Kg,49
236,Wire nails 2 inches,Kg,44
237,Wire nails 3 inches,Kg,40
238,Wire nails 4 inches,Kg,40
239,Wire nails 5 inches,Kg,43
240,Wood preservative 5 liters,Each,51
241,Belts - Men s Waist belt - Leather,Each,405
242,Chitenge material 6 meters 100% cotton,Each,240
243,Chitenge material 6 meters wax,Each,223
244,Coat - Dust Coat (cotton),Each,184
245,Coat - Lab Coat (polyester),Each,185
246,Gloves - Chrome Leather,Each,57
247,Gloves - PVC open cuff 27 cm,Each,45
248,Gumboots - Domestic,Pair,134
249,Gumboots - Industrial,Pair,252
250,Gumboots - steel toe Industrial,Pair,328
251,Hat - Safety Hard Hat,Each,68
252,Jeans - Ladies denim plain colour,Pair,431
253,Jeans - Mens denim plain colour,Pair,512
254,Mask - Dust Respirator Re - usable,Each,90
255,Overalls - Ordinary,Each,226
256,Overalls - with reflective tape,Each,274
257,Raincoat one piece,Each,108
258,Raincoat one piece with hood,Each,157
259,Raincoat one piece with hood and reflector,Each,162
260,Raincoat one piece with reflector,Each,143
261,Raincoat two-piece jacket with hood,set,191
262,Raincoat two-piece jacket with hood and reflector,set,166
