Item,,UnitCost
Paint Brush 4 inch (102mm),Each,39.00
Paint Brush 6 inch (152mm),Each,57.00
Paint Brush 8 inch (203mm),Each,65.00
Paint -Undercoat paint - 20Litres,Each,562.00
Pan connector - 110mm Diameter PVC,Each,67.00
Particle Ceiling Board - 8mm sheet,Each,307.00
Pipe 13mm (½ inch ) diameter GI -6m,Each,381.00
Pipe 13mm (½ inch) diameter PVC - 3m,Each,84.00
Pipe 19mm (3/4) diameter GI -6m,Each,593.00
Pipe 19mm (3/4) diameter PVC -6m,Each,115.00
Pipe 25mm (1 inch) diameter GI -6m,Each,942.00
Pipe 25mm (1 inch) diameter PVC -6m,Each,155.00
Pipe 32mm (¼) diameter PVC -6m,Each,169.00
Pipe 32mm (1 ¼) diameter GI -6m,Each,1120.00
Pipe 40mm ( 1 ½) diameter PVC -6m,Each,170.00
Pipe 40mm (1 ½) diameter GI -6m,Each,1242.00
Pipe 50mm (2 inches) diameter GI -6m,Each,1530.00
Pipe 50mm (2 inches) diameter PVC - 6m,Each,187.00
P-trap - 32mm Diameter Rubber,Each,78.00
Quarry Dust (A),Ton,324.00
Quarry Dust (C),Ton,289.00
Rain down PVC pipe - 150 x 150mm diameter,m,417.00
Rain gutter - 150 x 150mm x 3m -GI,Each,349.00
Rain gutter - 150 x 150mm x 6m-PVC,Each,500.00
Razor wire 500mm x 15 meters,Each,668.00
Rectangular tube 100 x 40mm x 6 metres,Each,705.00
Rectangular tube 50mm x 25 mm x 6 metres,Each,307.00
Rectangular tube 60 mm x 40mm x 6 metres,Each,397.00
Reducer - ¾ inches (19mm) x ½ inches (13mm) -GI,Each,23.00
Reducer - ¾ inches (19mm) x ½ inches (13mm) -PVC,Each,17.00
Reducer - 1 inch (25mm) x ¾inches (19mm -PVC,Each,22.00
Reducer - 1 inch (25mm) x ¾inches (19mm)-GI,Each,41.00
Return valve 1 ½ inches - GI,Each,272.00
Return valve 1 ½ inches PVC,Each,197.00
River sand,Ton,321.00
Roller Paint brush,Each,63.00
Roller Paint brush with tray,Each,97.00
Roof Sealant 5 litres,Each,375.00
Roofing nails 75mm GI,Kg,80.00
Roofing sheet 0.21mm Corrugated,m,78.00
Roofing sheet 0.21mm Corrugated (2m),Each,175.00
Roofing sheet 0.21mm Corrugated (3.5m),Each,250.00
Roofing sheet 0.25mm Corrugated,m,114.00
Roofing sheet 0.25mm Corrugated (2.5),Each,201.00
Roofing sheet 0.25mm Corrugated (3.5),Each,274.00
Roofing sheet 0.3mm Corrugated,m,109.00
Roofing sheet 0.3mm Corrugated (2m),Each,179.00
Roofing sheet 0.3mm Corrugated (3.5),Each,315.00
Roofing sheet 0.3mm thick IBR/IT4 colour coated sheet,m,119.00
Roofing sheet 0.3mm thick IBR/IT4 coloured ridge,m,112.00
Roofing sheet 0.3mm thick IBR/IT4 coloured Valley,m,116.00
Roofing sheet 0.3mm thick IBR/IT4 non coloured ridge,m,110.00
,,
Roofing sheet 0.3mm thick IBR/IT4 non coloured roofing sheet,m,104.00
,,
Roofing sheet 0.3mm thick IBR/IT4 non coloured roofing sheet,m,104.00
,,
Roofing sheet 0.3mm thick IBR/IT4 non coloured roofing sheet (2m),Each,204.00
,,
Roofing sheet 0.3mm thick IBR/IT4 non coloured roofing sheet (2m),Each,183.00
Roofing sheet 0.3mm thick versatile sheet,m,127.00
Roofing sheet 0.3mm thick versatile sheet (2m),Each,240.00
Roofing sheet 0.4mm Corrugated,m,144.00
Roofing sheet 0.4mm Corrugated (3.5m),Each,364.00
Roofing sheet 0.4mm thick IBR/IT4 colour coated sheet,m,139.00
Roofing sheet 0.4mm thick IBR/IT4 colour coated sheet (2m),Each,275.00
Roofing sheet 0.4mm thick IBR/IT4 coloured ridge,m,116.00
Roofing sheet 0.4mm thick IBR/IT4 coloured ridge (2m),Each,215.00
Roofing sheet 0.4mm thick IBR/IT4 coloured Valley,m,119.00
Roofing sheet 0.4mm thick IBR/IT4 coloured Valley (2m),Each,210.00
Roofing sheet 0.4mm thick IBR/IT4 non coloured ridge,m,114.00
Roofing sheet 0.4mm thick IBR/IT4 non coloured roofing sheet,m,140.00
Roofing sheet 0.4mm thick IBR/IT4 non coloured Valley,m,117.00
Roofing sheet 0.4mm thick versatile sheet,m,148.00
Roofing sheet 0.4mm thick versatile sheet(2m),Each,240.00
Roofing sheet 0.5mm Corrugated,m,174.00
Roofing sheet 0.5mm Corrugated(3.5m),Each,493.00
Roofing sheet 0.5mm thick IBR/IT4 colour coated sheet,m,166.00
Roofing sheet 0.5mm thick IBR/IT4 coloured ridge,m,142.00
Roofing sheet 0.5mm thick IBR/IT4 coloured ridge(2m),Each,230.00
Roofing sheet 0.5mm thick IBR/IT4 coloured Valley,m,139.00
Roofing sheet 0.5mm thick IBR/IT4 non coloured ridge,m,139.00
Roofing sheet 0.5mm thick IBR/IT4 non coloured roofing sheet,m,159.00
Roofing sheet 0.5mm thick IBR/IT4 non coloured Valley,m,149.00
Roofing sheet 0.5mm thick versatile sheet,m,167.00
Roofing sheet 0.5mm thick versatile sheet (4m),Each,668.00
Scraper 1.5 inches,Each,23.00
Scraper 2.0 inches,Each,29.00
Scraper 3 inches,Each,36.00
Scraper 4 inches,Each,43.00
Scrapper 2.5 inches,Each,33.00
Sewer Pipe -110mm Diameter Heavy Duty PVC-6m Long),Each,397.00
Sewer Pipe -110mm Diameter Light Duty PVC-6m Long),Each,297.00
Shackle Insulator (Electricity Shackle),Each,79.00
Shovel,Each,232.00
Shower clip 13mm GI,Each,24.00
Shower clip 19mm GI,Each,30.00
Shower Curtain 1800 x1800mm,Each,274.00
Shower mixer - 13mm Diameter,Each,1517.00
Shower rose - 13mm,Each,116.00
Shower rose - 13mm PVC,Each,93.00
Shower rose - 19mm,Each,196.00
Shower tray - Acrylic,Each,823.00
Sink - Double drain and double bowl industrial stainless steel,Each,2399.00
Sink - Double drain and double bowl stainless steel,Each,1742.00
Sink - Single drain and single bowl industrial stainless steel,Each,1468.00
Sink - Single drain and single bowl stainless steel,Each,1180.00
Sink mixer - Kitchen and Laundry,Each,1111.00
Soap holder 150 x 150mm (Ceramic recessed),Each,138.00
Spirit level (Bubble Level) - 1200mm,Each,258.00
Spirit level (Bubble Level) - 600mm,Each,178.00
Square tube 16 x 16 mm x 6 metres x 1.6mm,Each,137.00
Square tube 20 x 20 mm x 6 metres x 1.6mm,Each,169.00
Square tube 25 x 25 mm x 6 metres x 1.6mm,Each,228.00
Square tube 30 x 30 mm x 6 metres x 1.6mm,Each,267.00
Square tube 40 x 40 mm x 6 metres x 1.6mm,Each,341.00
Square tube 50 x 50 mm x 6 metres x 1.6mm,Each,533.00
Steel door frame 1200 x 2000 mm complete with grill door,Each,2065.00
Steel door frame 1800 x 2000 mm complete with grill door,Each,2868.00
Steel door frame 600 x 2000 mm complete with grill door,Each,1305.00
Steel door frame 700 x 2000 mm complete with grill door,Each,1337.00
Steel door frame 800 x 2000mm complete with grill gate,Each,1507.00
Steel door frame 900 x 2000 mm complete with grill door,Each,1500.00
Steel door frame 900 x 2200 mm with fanlight complete with grill door,Each,1925.00
Steel nails - 1 inch (Concrete Nails),Kg,77.00
Steel nails - 2 inches (Concrete Nails),Kg,80.00
Steel nails - 3 inches (Concrete Nails ),kg,80.00
Steel nails - 4 inches (Concrete Nails),kg,82.00
